Nome,Preco,Preco Sem Desconto,EAN,SKU,Marca,Categoria,Desconto
Dioless 150mcg + 20mcg com 21 Comprimidos - Supera,33.72,44.33,7899420506253,8811,hypera,Mais Medicamentos,0.24
Zetsim 10\u002F40mg com 30 Comprimidos - Supera,142.91,177.35,7897337716888,8755,hypera,Mais Medicamentos,0.19
Nimegon Met 50\u002F1000mg com 56 Comprimidos - Supera,269.37,316.91,7897572004481,8669,hypera,Mais Medicamentos,0.15
Zetsim 10\u002F20mg com 30 Comprimidos - Supera,87.18,108.0,7897337716871,8647,hypera,Mais Medicamentos,0.19
"Minergi 0,375mg com 30 Comprimidos - Supera",72.36,91.23,7899420504723,8580,hypera,Mais Medicamentos,0.21
Zetsim 10\u002F10mg com 30 Comprimidos - Supera,86.96,108.0,7897337716840,8211,hypera,Mais Medicamentos,0.19
Promim Creme 30g com 20 Aplicadores - Supera,81.42,94.68,7899420501791,7378,hypera,Mais Medicamentos,0.14
Perola 75mcg com 28 Comprimidos - Supera,34.32,46.01,7897337713382,7201,hypera,Mais Medicamentos,0.25
Alevo 750mg com 5 Comprimidos - Supera,73.51,78.2,7899420506666,7202,hypera,Mais Medicamentos,0.06
"Asea HCT 40mg\u002F12,5mg com 30 Comprimidos - Supera",66.64,84.04,7899420503276,5901,hypera,Mais Medicamentos,0.21
Nimegon 100mg com 28 Comprimidos - Supera,273.34,321.58,7897572004351,5741,hypera,Mais Medicamentos,0.15
Okotico 25mg com 30 Comprimidos - Supera,45.07,56.78,7899420506888,4123,hypera,Mais Medicamentos,0.21
Risperidon 2mg com 60 Comprimidos - Supera,101.2,128.18,7896676433678,3605,hypera,Mais Medicamentos,0.21
Dali 5mg com 30 Comprimidos - Supera,189.69,255.03,7899420504051,3124,hypera,Mais Medicamentos,0.26
Amytril 25mg com 60 Comprimidos - Supera,59.48,75.01,7896676422276,3090,hypera,Mais Medicamentos,0.21
FERINJECT 50MG ML INJ 1AMP 10ML,599.99,599.99,7898581710622,32752,hypera,Mais Medicamentos,0.0
"Cetrolac 0,5% Colírio 5ml - União Química",54.36,61.77,7896006290070,17374,hypera,Mais Medicamentos,0.12
Codex 30mg com 12 Comprimidos - União Química,21.22,24.11,7896006219590,17167,hypera,Analgésicos,0.12
Cylocort Coliírio 5ml - União Química,36.4,38.72,7896006290100,17072,hypera,Mais Medicamentos,0.06
Diamox 250mg com 25 Comprimidos - União Química,22.96,26.09,7896006245339,16915,hypera,Mais Medicamentos,0.12
Femiane com 21 Drágeas - União Química Genom,42.97,58.67,7896006201588,16597,hypera,Mais Medicamentos,0.27
"Glaucotrat 0,5% Solução Oftálmica 5ml - União Química",14.59,15.52,7896006290162,16395,hypera,Mais Medicamentos,0.06
Colírio Lacrifilm - 15ml,33.52,38.17,7896006290216,16217,hypera,Mais Medicamentos,0.12
Microvlar com 21 Drágeas - União Química,7.99,10.22,7896006201618,15903,hypera,Mais Medicamentos,0.22
Neovlar com 21 Drágeas - União Química,6.71,9.12,7896006201687,15792,hypera,Mais Medicamentos,0.26
Ocupress 2% Solução Oftálmica 5ml - União Química,74.54,89.68,7896006290209,15682,hypera,Mais Medicamentos,0.17
Primosiston com 30 Comprimidos - União Química,10.44,13.89,7896006201731,15433,hypera,Mais Medicamentos,0.25
Primolut-Nor 10mg com 30 Comprimidos - União Química,20.22,26.82,7896006201717,15434,hypera,Anticoncepcionais,0.25
Slow-K 600mg com 20 Drágeas - GSK,16.8,17.87,7896006219545,15093,hypera,Mais Medicamentos,0.06
Teflan 20mg com 10 Comprimidos - União Química,45.02,52.35,7896006219095,14950,hypera,Mais Medicamentos,0.14
Tess com 21 Comprimidos - União Química,19.62,26.13,7896006221043,14923,hypera,Anticoncepcionais,0.25
Floral Pet - Ansiedade,29.99,29.99,745178200813,20363,hypera,Fitoterápicos,0.0
Floral - Estímulo da Líbido,29.99,29.99,0745125000398,20376,hypera,Fitoterápicos,0.0
Floral - Ansiedade,29.99,29.99,745125000312,20371,hypera,Fitoterápicos,0.0
Floral - Baixa Imunidade,29.99,29.99,0745125000336,20372,hypera,Fitoterápicos,0.0
Floral - Insegurança e Indecisão,29.99,29.99,0745125000428,20378,hypera,Fitoterápicos,0.0
Floral Pet - Coprofagia,29.99,29.99,745178200837,20366,hypera,Fitoterápicos,0.0
Floral Pet - Automutilação,29.99,29.99,745178200783,20364,hypera,Fitoterápicos,0.0
Floral - Adolescência e Estudos,29.99,29.99,0745125000305,20370,hypera,Fitoterápicos,0.0
Floral Pet - Medos e Traumas,29.99,29.99,745178200851,20368,hypera,Fitoterápicos,0.0
Floral Pet - Adaptação e Transição,29.99,29.99,745178200790,20361,hypera,Fitoterápicos,0.0
Floral Pet - Carência e Abandono,29.99,29.99,745178200820,20365,hypera,Fitoterápicos,0.0
Floral Pet - Agressividade,29.99,29.99,745178200806,20362,hypera,Fitoterápicos,0.0
Floral - Falta de Memória,29.99,29.99,0745125000404,20377,hypera,Fitoterápicos,0.0
Floral - Cansaço Físico e Mental,29.99,29.99,0745125000343,20373,hypera,Fitoterápicos,0.0
Floral Pet - Desobediência,29.99,29.99,745178200844,20367,hypera,Fitoterápicos,0.0
Novalgina 500mg com 30 Comprimidos - Sanofi,36.11,41.99,7891058008635,15705,hypera,Dor e Febre,0.14
Targifor + C com 16 Comprimidos Efervescentes - Sanofi,40.39,45.9,7891058021931,14954,hypera,Vitaminas,0.12
Novalgina 500mg com 10 Comprimidos - Sanofi,13.41,15.78,7891058008642,13852,hypera,Dor e Febre,0.15
Anador 500mg 24 Comprimidos - Sanofi,23.06,26.81,7891058021597,13587,hypera,Analgésicos,0.14
Targifor + C 500+500mg com 60 Comprimidos - Sanofi,94.33,109.69,7891058004675,13489,hypera,Vitaminas,0.14
Enterogermina 10 Flaconetes - 5ml,40.97,42.9,7891058016999,12568,hypera,Mais Medicamentos,0.04
Novalgina 1g com 10 Comprimidos Efervescentes - Sanofi,28.01,32.57,7891058015756,12364,hypera,Dor e Febre,0.14
Targifor + C com 30 Comprimidos - Sanofi,57.18,64.98,7891058004668,11922,hypera,Vitaminas,0.12
Enterogermina Plus 5 Flaconetes - 5ml,40.92,42.9,7891058020286,9814,hypera,Mais Medicamentos,0.05
