Nome,Preço sem desconto,Preço com desconto,Desconto (porcentagem),Código EAN,Marca,Categoria
Suplemento Alimentar Probid 30 Cápsulas,78.9,68.64,13,7896637032209,Apsen,Digestivo
Suplemento Vitamínico Nestlé Materna 30 comprimidos revestidos,71.9,66.15,8,7891045031257,Nestlé,Anticoncepcionais
Lactosil Flora 30 cápsulas,60.9,53.59,12,7896637032247,Apsen,Digestivo
Solução Multiuso Renu Fresh 355ml + 120ml + Estojo para Lentes,44.99,37.34,17,7896046381004,Bausch & Lomb,Mais Medicamentos
Suplemento Alimentar Calcitran Triflex 30 comprimidos,61.9,56.76,8,7898040329716,Divcom Pharma,Mais Medicamentos
Glifage XR 500mg 30 comprimidos de liberação prolongada,11.18,7.16,36,7891721027468,Merck,Diabetes
Niquitin 21mg 7 adesivos transdérmicos transparentes,105.96,87.95,17,7898928257032,Gsk,Similar
Gel para Higiene dos Olhos Blephagel 40g,129.9,109,16,3662042000249,União Química,Mais Medicamentos
Saxenda 6mg/ml 3 carpules com 3ml + 3 sistemas de aplicação,986.91,809.27,18,7897705202340,Novo Nordisk,Diabetes
Jardiance 25mg 30 comprimidos revestidos,305.82,224.9,26,7896026306188,Boehringer,Diabetes
Indux 50mg 10 comprimidos,72.51,62.36,14,7894916501408,Sigma Pharma,Mais Medicamentos
Salicetil Infantil 100mg 10 comprimidos,2.13,1.34,37,7898100241897,Brasterapica,Dor E Febre
Gel Hidratante Intravaginal VagiSoft 30g + 10 Aplicadores Descartáveis,53.32,43.72,18,7896331706086,Hertz,Anticoncepcionais
Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável,56.4,49.63,12,7898616360303,Bionn,Diabetes
Depo-Medrol 40mg/ml 1 ampola de 2ml,27.11,25.75,5,7891268101706,Wyeth,Dor E Febre
Coltrax 2mg/ml 3 ampolas com 2ml,18.81,16.36,13,7896185924513,Sanofi,Dor E Febre
Ginkgo Biloba Catarinense 80mg 30 comprimidos,22.9,22.9,0,7896023743009,Catarinense,Mais Medicamentos
Forxiga 10mg 30 comprimidos revestidos,221.02,156.92,29,5000456070423,Astrazeneca,Diabetes
Supositório de Glicerina Granado Adulto 12un,31.35,31.35,0,7896512901392,Casa Granado,Digestivo
Digeliv 400GaIU 30 sachês com 2g cada,95.97,62.38,35,7896637026222,Apsen,Digestivo
Neosaldina Solução Oral 15ml,39.98,31.98,20,7896094999985,Neosaldina,Dor E Febre
"Solução Nasal Naridrin 12 Horas 1mg/ml + 0,2mg/ml + 5mg/ml 30ml",34.72,15.99,54,7896004714578,Ems,Mais Medicamentos
Doss 15.000UI 04 cápsulas gelatinosas moles,35.47,23.06,35,7896112403258,Biolab Sanus,Mais Medicamentos
Lactosil 10.000 FCC 30 Tabletes,42.35,36,15,7896637026802,Apsen,Digestivo
Analgésico Cafiaspirina 4 comprimidos,6.99,6.99,0,7891106900775,Bayer,Dor E Febre
"Loratadina 10mg Cimed, 12 comprimidos",19.37,6.39,67,7896523227573,Cimed,Alergias E Infecções
Laxante Fitoterápico Naturetti 16 cápsulas,59.82,50.85,15,7891058224028,Sanofi,Digestivo
ABC Spray 10mg/ml 30ml,40.7,23.2,43,7896331702583,Hertz,Mais Medicamentos
Previgrip Weleda 20g,86.49,77.84,10,7893093083882,Weleda,Mais Medicamentos
Suplemento Alimentar Femibion 1 28 comprimidos,91.45,74.9,18,7500435185011,Vick,Anticoncepcionais
"Nitrato de Prata Bastão 90,0% Ifal 0,8g",48.49,43.64,10,7898016410066,Ifal,Mais Medicamentos
Corus 50mg 30 comprimidos revestidos,13.42,4.29,68,7896181920410,Ache,Hipertensão
Xarelto 20mg 28 comprimidos revestidos,364.27,364.27,0,7891106907064,Bayer,Mais Medicamentos
Motore 250mg 120 cápsulas,254.42,193.36,24,7896658020995,Ache,Mais Medicamentos
Laxante Fitoterápico Naturetti Geleia Sabor Ameixa 130g,74.12,63,15,7891058013141,Sanofi,Digestivo
Humulin N NPH 100UI/ml 1 ampola com 10ml,81.9,73.71,10,7896382700583,Eli Lilly,Diabetes
Inilok 40mg Apsen 60 comprimidos,123.6,75.99,39,7896637031516,Apsen,Digestivo
Caltrate Ca 600mg + D3 200 UI 60 comprimidos revestidos,120.6,109.75,9,7891045040891,Gsk,Mais Medicamentos
"Atensina 0,150mg 30 comprimidos",12.44,10.2,18,7898968453104,Boehringer,Hipertensão
Varivax 300mg 30 comprimidos,52.1,34.99,33,7899470803975,Natulab,Mais Medicamentos
LuftaGastroPro Sachê 10ml,3.9,3.59,8,7891035650130,Luftagastro,Digestivo
Previgrip Weleda 50ml,86.49,76.98,11,7893093016354,Weleda,Mais Medicamentos
Niquitin 14mg 7 adesivos transdérmicos transparentes,101.41,84.17,17,7896015519261,Gsk,Similar
Glifage XR 850mg 30 comprimidos de liberação prolongada,39.65,30.53,23,7891721201530,Merck,Diabetes
Sal de Frutas Eno Tradicional 2 envelopes com 5g,4.39,3.69,16,7896015511159,Eno,Digestivo
Solução para Lentes Rígidas Boston Simplus Multiação 120ml,69.9,55.76,20,310119052440,Bausch & Lomb,Mais Medicamentos
Adesivos Salonpas Pequeno 4un,4.73,4.49,5,7896227800799,Salonpas,Dor E Febre
Aradois 50mg 30 comprimidos revestidos,55.62,9.99,82,7896112486787,Biolab Sanus,Hipertensão
Fibra Metamucil Sabor Laranja 174g,109.14,92.77,15,20800750158,Procter&gamble,Digestivo
"Neosoro 0,5mg/ml 30ml",11.55,5.08,56,7896714231143,Neo Quimica,Mais Medicamentos
Slinda 4mg 3 blísteres com 28 comprimidos revestidos cada,293.16,229.9,22,7908134200552,Exeltis,Anticoncepcionais
Gotas Preciosas 30ml,23.5,17.63,25,7896331700404,Hertz,Digestivo
Insulina Humana Novolin N 100UI/ml 10ml,64.46,23.21,64,7897705200087,Novo Nordisk,Diabetes
"Aerolin 100mcg/dose 200 doses 14,6 ml",26.9,25.56,5,7896269900150,Gsk,Mais Medicamentos
Alenia Refil 12mcg + 400mcg 60 cápsulas inalatórias,149.14,149.14,0,7896181918943,Ache,Mais Medicamentos
Suplemento Alimentar Doss 2.000UI Vitamina D3 30 cápsulas gelatinosas moles,33.9,29.83,12,7896112402343,Biolab Sanus,Vitaminas
Complexo Homeopático Almeida Prado N 28 60 Comprimidos,29.2,29.2,0,7898037080286,Almeida Prado,Anticoncepcionais
Flebodia 600mg 30 comprimidos revestidos,153.78,119.95,22,3400970002146,Gross,Mais Medicamentos
Eniagor 50mg/ml Solução Capilar Refil 50ml,52.05,31.23,40,7896637032797,Apsen,Similar
