,Nome,Preço sem desconto,Preço com desconto,Desconto (porcentagem),Código EAN,Marca
0,Dipirona Gotas 10ml Germed,6.93,6.93,0,,
1,"Dipirona Monoidratada Biosintética - Aché 50mg/mL, caixa com 1 frasco com 100mL de solução oral + 1 copo medidor",16.78,16.78,0,,
2,"Citrato de Sildenafila Medley 50mg, caixa com 4 comprimidos revestidos﻿",17.51,17.51,0,,
3,"Tadalafila Eurofarma 5mg, caixa com 30 comprimidos revestidos",347.64,347.64,0,,
4,"Tadalafila Eurofarma 20mg, caixa com 4 comprimidos revestidos",185.37,185.37,0,,
5,"Apevitin BC 4mg, caixa com 1 frasco com 240mL de xarope + doseador",50.77,50.77,0,,
6,"Citrato de Sildenafila Eurofarma 50mg, caixa com 4 comprimidos revestidos",30.62,30.62,0,,
7,Materna Nestle 30 Capsula,89.9,89.9,0,,
8,Odorizante De Ambiente Bendita Canfora 8 Tabletes,15.72,15.72,0,,
9,"Leite de Magnésia Eno frasco com 350mL de suspensão de uso oral, sabor tradicional",26.03,26.03,0,,
10,"Sinvastatina Sandoz 20mg, caixa com 30 comprimidos revestidos",118.27,118.27,0,,
11,"Tadalafila Medley 20mg, caixa com 2 comprimidos revestidos﻿",29.57,29.57,0,,
12,Calde KM 30 Comprimidos Revestidos,131.07,131.07,0,,
13,"Tadalafila Medley 20mg, caixa com 4 comprimidos revestidos﻿",58.48,58.48,0,,
14,20Bi 30Cap,215.22,215.22,0,,
15,"Ciprofibrato Biolab Genericos 100Mg, Caixa Com 30 Comprimidos",55.27,55.27,0,,
16,"Clortalidona Ems 25Mg, Caixa Com 60 Comprimidos",32.94,32.94,0,,
17,"Adeforte 10.000UI + 800UI + 15mg, caixa com 1 ampola com 3mL de solução de uso oral",25.76,25.76,0,,
18,Pant Solucao Capilar 50Ml Com 3 Unidades,164.74,164.74,0,,
19,Zirvit Multi 30 Comprimidos Rev,91.45,91.45,0,,
20,"Dulcolax 5mg, caixa com 20 drágeas com revestimento entérico",18.13,18.13,0,,
21,Emama 400 Mg 30 Capsula,47.1,47.1,0,,
22,"Glifage XR 500mg, caixa com 30 comprimidos de ação prolongada",11.18,11.18,0,,
23,"Venocel 100Mg, Caixa Com 60 Capsulas Gelatinosas",42.22,42.22,0,,
24,Artrogen Duo 30 Saches De 11G Com Po Para Solucao Oral,202.32,202.32,0,,
25,Sildenafila 50mg Genérico Neo Química 4 Comprimidos Revestidos,30.62,30.62,0,,
26,"Salicetil 100mg, blíster com 10 comprimidos",2.45,2.45,0,,
27,"Sinvastatina Multilab Nova Quimica 20Mg, Caixa Com 30 Comprimidos Revestidos",16.4,16.4,0,,
28,"Espironolactona EMS 100mg, caixa com 30 comprimidos",45.81,45.81,0,,
29,Suplemento Alimentar DayVit Kids Suspensão Oral 120ml,57.41,57.41,0,,
30,"Engov 15mg + 150mg + 150mg + 50mg, caixa com 24 comprimidos",27.7,27.7,0,,
31,"Cewin Comprimido 500mg, caixa com 30 comprimidos de desintegração lenta",43.41,43.41,0,,
32,Prosso Km 30 Tabletes,142.0,142.0,0,,
33,"Steaton 200Mg, Caixa Com 60 Capsulas",151.34,151.34,0,,
34,Aflexa colágeno 60 cápsulas,116.9,116.9,0,,
35,Sal Amargo Farmax caixa com 30g de pó para solução de uso oral,3.44,3.44,0,,
36,Niquitin 21Mg 7 Adesivos,125.49,125.49,0,,
37,"Sal de Frutas Eno 2 envelopes com 5g de pó efervescente de uso oral, laranja",4.6,4.6,0,,
38,Suplemento Vitamínico Cogmax 60 Cápsulas,126.71,126.71,0,,
39,"Azelan 150Mg G, Caixa Com 1 Bisnaga Com 30G De Gel De Uso Dermatologico",89.22,89.22,0,,
40,"Hidroclorotiazida Medley 25mg, caixa com 30 comprimidos﻿",6.0,6.0,0,,
41,Alendronato sod 70mg 4cpr ger,62.67,62.67,0,,
42,"Prednisolona Eurofarma 5mg, caixa com 20 comprimidos",15.54,15.54,0,,
43,"Bálsamo Bengué 0,25g/g + 0,25g/g, caixa com 1 bisnaga com 20g de pomada de uso dermatológico",24.54,24.54,0,,
44,"Aturgyl 0,5Mg Ml, Caixa Com 1 Frasco Spray Com 15Ml De Solucao De Uso Nasal",18.12,18.12,0,,
45,Fumasil 300 Mg 60 Comprimidos,66.8,66.8,0,,
46,"Natifa 1Mg, Caixa Com 28 Comprimidos Revestidos",70.16,70.16,0,,
47,"Cloridrato de Propranolol EMS 10mg, caixa com 30 comprimidos",9.87,9.87,0,,
48,"Sal de Frutas Eno 2 envelopes com 5g de pó efervescente de uso oral, tradicional",4.6,4.6,0,,
49,"Naridrin 1Mg Ml + 0,2Mg Ml + 5Mg Ml, Caixa Com 1 Frasco Com 30Ml De Solucao De Uso Nasal",36.68,36.68,0,,
50,"Alopurinol Medley 100mg, caixa com 30 comprimidos",11.16,11.16,0,,
51,"Allegra 6Mg Ml, Caixa Com 1 Frasco Com 60Ml De Suspensao De Uso Oral + Seringa Dosadora",38.81,38.81,0,,
52,"Proctyl 50mg/g + 10mg/g, caixa com 1 bisnaga com 30g de pomada de uso retal + 10 aplicadores",78.53,78.53,0,,
53,Colidis caixa com 1 frasco gotejador com 10mL de solução oral,185.98,185.98,0,,
54,"Tamarine 29,268mg + 23,400mg, caixa com 20 cápsulas",89.6,89.6,0,,
55,Colágeno Fascia Prime 30 Saches,357.12,357.12,0,,
56,Nicorette 4 Mg Mint 30 Gomas,98.9,98.9,0,,
57,"Diane 35 2mg + 0,035mg, caixa com 63 comprimidos revestidos",84.02,84.02,0,,
58,"Dorflex 300mg + 35mg + 50mg, blíster com 10 comprimidos",7.67,7.67,0,,
59,Angeliq Estradiol 1mg + Drospirenona 2mg 28 comprimidos,134.0,134.0,0,,
